title,genre,narrative,length,ratings
Slaughterhouse-Five,Fiction,plot-driven,short,4.61
The Bell Jar,Sci-Fi,plot-driven,short,4.14
War and Peace,Classics,character-driven,long,4.23
Ender's Game,Fantasy,plot-driven,long,4.05
Moby Dick,Children,plot-driven,short,4.42
The Fault in Our Stars,Romance,character-driven,long,4.31
War and Peace,Mystery,character-driven,medium,3.64
Catch-22,Historical,plot-driven,medium,3.28
Anna Karenina,Magical Realism,character-driven,medium,4.13
The Road,Philosophy,character-driven,long,3.58
The Maze Runner,Satire,character-driven,medium,3.43
Alice's Adventures in Wonderland,Magical Realism,plot-driven,short,4.59
Fahrenheit 451,Romance,plot-driven,short,4.89
Dracula,Adventure,plot-driven,short,4.08
The Picture of Dorian Gray,Fiction,plot-driven,medium,4.61
The Lord of the Rings,Horror,plot-driven,medium,4.89
Brave New World,Magical Realism,plot-driven,short,4.32
The Girl with the Dragon Tattoo,Adventure,plot-driven,medium,4.91
The Da Vinci Code,Mystery,character-driven,short,4.42
The Giver,Classics,character-driven,long,4.41
To Kill a Mockingbird,Magical Realism,plot-driven,short,4.03
The Kite Runner,Classics,plot-driven,medium,4.21
Jane Eyre,Children,plot-driven,long,3.62
The Alchemist,Historical,character-driven,long,4.02
The Road,Adventure,character-driven,short,3.36
The Old Man and the Sea,Romance,character-driven,long,4.82
The Count of Monte Cristo,Horror,plot-driven,short,4.59
The Bell Jar,Children,character-driven,short,4.48
Brave New World,Historical,plot-driven,short,4.78
Moby Dick,Satire,character-driven,medium,4.84
Catch-22,Adventure,character-driven,short,4.44
The Picture of Dorian Gray,Sci-Fi,character-driven,long,4.61
Crime and Punishment,Horror,plot-driven,long,3.25
The Night Circus,Classics,character-driven,short,4.34
War and Peace,Classics,character-driven,long,4.24
Percy Jackson & the Olympians: The Lightning Thief,Philosophy,character-driven,short,3.19
The Fault in Our Stars,Dystopian,plot-driven,short,4.62
Slaughterhouse-Five,Sci-Fi,plot-driven,long,4.27
Fahrenheit 451,Satire,character-driven,medium,4.66
Dune,Mystery,character-driven,short,4.55
Ender's Game,Magical Realism,plot-driven,short,3.8
To Kill a Mockingbird,Magical Realism,character-driven,long,4.13
The Da Vinci Code,Dystopian,plot-driven,long,3.86
The Old Man and the Sea,Satire,character-driven,medium,4.55
Harry Potter and the Philosopher's Stone,Dystopian,plot-driven,long,4.8
The Girl with the Dragon Tattoo,Mystery,character-driven,medium,4.67
Pride and Prejudice,Sci-Fi,plot-driven,medium,4.38
The Alchemist,Romance,plot-driven,short,3.91
The Fault in Our Stars,Magical Realism,character-driven,medium,4.59
Pride and Prejudice,Children,character-driven,short,4.04
The Girl on the Train,Dystopian,plot-driven,long,3.86
Frankenstein,Fantasy,character-driven,medium,4.89
Moby Dick,Fiction,character-driven,short,4.43
The Girl on the Train,Horror,plot-driven,medium,4.33
Dune,Historical,character-driven,short,3.54
Ender's Game,Adventure,plot-driven,long,3.49
A Tale of Two Cities,Historical,character-driven,long,4.85
Jane Eyre,Adventure,character-driven,long,3.09
Frankenstein,Dystopian,plot-driven,long,3.56
The Secret Garden,Children,plot-driven,long,3.83
The Hobbit,Fiction,plot-driven,medium,4.66
Fahrenheit 451,Adventure,character-driven,long,3.81
The Book Thief,Romance,plot-driven,medium,4.25
One Hundred Years of Solitude,Romance,character-driven,long,4.97
Ender's Game,Romance,plot-driven,long,3.68
Harry Potter and the Philosopher's Stone,Philosophy,character-driven,short,3.51
The Night Circus,Dystopian,plot-driven,medium,3.07
Big Little Lies,Magical Realism,plot-driven,medium,4.87
1984,Historical,plot-driven,short,3.29
The Odyssey,Classics,character-driven,short,4.78
The Picture of Dorian Gray,Fantasy,plot-driven,medium,4.81
Catch-22,Adventure,character-driven,short,4.62
The Maze Runner,Satire,plot-driven,medium,4.76
Brave New World,Sci-Fi,plot-driven,long,4.17
The Odyssey,Fantasy,plot-driven,long,4.43
A Thousand Splendid Suns,Magical Realism,character-driven,short,4.63
Lolita,Sci-Fi,plot-driven,short,4.04
The Secret Garden,Dystopian,plot-driven,short,4.79
The Little Prince,Magical Realism,character-driven,long,4.13
The Girl on the Train,Philosophy,character-driven,medium,4.8
The Hunger Games,Fantasy,character-driven,medium,4.24
The Picture of Dorian Gray,Philosophy,plot-driven,short,4.99
The Catcher in the Rye,Fiction,plot-driven,medium,4.28
Brave New World,Horror,plot-driven,medium,3.51
Memoirs of a Geisha,Classics,character-driven,medium,4.01
The Book Thief,Horror,character-driven,short,3.65
A Tale of Two Cities,Historical,character-driven,medium,4.77
Brave New World,Satire,plot-driven,short,3.88
The Picture of Dorian Gray,Fantasy,plot-driven,short,4.71
Frankenstein,Romance,plot-driven,medium,4.5
The Little Prince,Philosophy,character-driven,medium,4.54
The Shining,Horror,character-driven,medium,3.65
The Old Man and the Sea,Fiction,plot-driven,short,4.11
The Kite Runner,Sci-Fi,plot-driven,medium,4.77
The Secret Garden,Magical Realism,character-driven,medium,3.8
Moby Dick,Classics,character-driven,medium,4.0
The Girl with the Dragon Tattoo,Magical Realism,character-driven,medium,3.53
Memoirs of a Geisha,Historical,character-driven,long,4.55
The Picture of Dorian Gray,Fiction,plot-driven,short,4.73
The Book Thief,Mystery,plot-driven,medium,3.31
Slaughterhouse-Five,Dystopian,plot-driven,short,4.58
Slaughterhouse-Five,Classics,character-driven,long,4.18
The Secret Garden,Romance,character-driven,short,4.22
Frankenstein,Classics,plot-driven,long,4.93
The Giver,Romance,plot-driven,short,3.3
A Thousand Splendid Suns,Magical Realism,plot-driven,medium,3.41
Brave New World,Mystery,character-driven,medium,3.42
Gone with the Wind,Philosophy,plot-driven,long,4.03
The Picture of Dorian Gray,Romance,plot-driven,long,3.2
The Secret Garden,Fantasy,character-driven,medium,4.04
Percy Jackson & the Olympians: The Lightning Thief,Dystopian,character-driven,long,3.3
The Girl with the Dragon Tattoo,Magical Realism,character-driven,medium,3.23
Catch-22,Adventure,plot-driven,short,3.4
Harry Potter and the Philosopher's Stone,Adventure,character-driven,medium,3.89
The Odyssey,Classics,plot-driven,medium,4.76
The Old Man and the Sea,Mystery,character-driven,long,3.74
The Count of Monte Cristo,Philosophy,character-driven,long,3.37
Les Misérables,Romance,plot-driven,long,3.53
The Alchemist,Romance,plot-driven,medium,4.27
The Maze Runner,Satire,character-driven,long,4.18
